Simulation #,1
0,5875.476491315407
1,5591.154979071855
2,6341.049439958657
3,10290.179395909481
4,9170.092693097491
5,7187.52836516142
6,7133.780484427594
7,5922.469755093731
8,6148.783619546227
9,7967.828311403302
10,7384.833647415492
11,6667.305902686631
12,6959.392502223164
13,8260.599493983473
14,9781.933960112387
15,7074.564862943868
16,6391.273738465597
17,7968.727376438474
18,8782.419256674097
19,7505.731676525614
20,10247.320820585252
21,6018.3545924114505
22,8072.93552556937
23,6156.093891421735
24,13603.480731048212
25,5736.84146547558
26,7744.08186940195
27,5634.897337130465
28,6929.388429002952
29,6006.20912056848
